C,OPDP.WORLD,NETWORK_OUTAGE,AEMO,PUBLIC,2019/04/29,13:30:06,0000000307290523,NETWORK,0000000307290523
I,NETWORK,OUTAGEDETAIL,3,OUTAGEID,SUBSTATIONID,EQUIPMENTTYPE,EQUIPMENTID,STARTTIME,ENDTIME,SUBMITTEDDATE,OUTAGESTATUSCODE,RESUBMITREASON,RESUBMITOUTAGEID,RECALLTIMEDAY,RECALLTIMENIGHT,LASTCHANGED,REASON,ISSECONDARY,ACTUAL_STARTTIME,ACTUAL_ENDTIME,COMPANYREFCODE
D,NETWORK,OUTAGEDETAIL,3,806304,POATINA,LINE,PO_PM5,"2019/05/06 08:00:00","2019/05/06 12:00:00","2018/06/22 14:10:25",MTLTP,,,120,0,"2019/03/07 13:32:42","HV equipt commissioning",0,,,9000315-out1
D,NETWORK,OUTAGEDETAIL,3,806311,PALMSTN,LINE,PO_PM4,"2019/05/07 10:00:00","2019/05/22 17:00:00","2018/06/22 14:32:32",WDRAWN,"Information Update",815461,0,0,"2018/12/03 13:26:34","HV equipt commissioning",0,,,9000317-OUT1
D,NETWORK,OUTAGEDETAIL,3,806311,POATINA,LINE,PO_PM4,"2019/05/07 10:00:00","2019/05/22 17:00:00","2018/06/22 14:32:32",WDRAWN,"Information Update",815461,0,0,"2018/12/03 13:26:34","HV equipt commissioning",0,,,9000317-OUT1
D,NETWORK,OUTAGEDETAIL,3,806314,PALMSTN,BUS,7MNB,"2019/05/07 10:00:00","2019/05/07 15:00:00","2018/06/22 14:35:57",WDRAWN,"Information Update",822388,120,0,"2019/04/16 14:12:08","HV equipt commissioning",0,,,9000403-OUT1
D,NETWORK,OUTAGEDETAIL,3,807636,INGLBURN,TRANS,1H,"2020/05/04 08:00:00","2020/06/27 17:00:00","2018/07/18 12:53:13",SUBMIT,,,4920,4920,"2018/07/18 12:53:15","HV equipt maintenance",0,,,TG_330959
D,NETWORK,OUTAGEDETAIL,3,808957,KEMPS_CK,LINE,14,"2019/04/04 07:00:00","2019/05/02 19:00:00","2018/08/13 08:58:18",WDRAWN,,,240,240,"2018/08/13 08:58:20","HV equipt commissioning",0,,,TG_357224
D,NETWORK,OUTAGEDETAIL,3,808957,SYD_NTH,LINE,14,"2019/04/04 07:00:00","2019/05/02 19:00:00","2018/08/13 08:58:18",WDRAWN,,,240,240,"2018/08/13 08:58:20","HV equipt commissioning",0,,,TG_357224
D,NETWORK,OUTAGEDETAIL,3,808959,KEMPS_CK,LINE,14,"2019/06/15 08:00:00","2019/07/13 19:00:00","2018/08/13 09:05:40",WDRAWN,,,240,240,"2019/03/07 08:22:51","HV equipt commissioning",0,,,TG_360072
D,NETWORK,OUTAGEDETAIL,3,808959,SYD_NTH,LINE,14,"2019/06/15 08:00:00","2019/07/13 19:00:00","2018/08/13 09:05:40",WDRAWN,,,240,240,"2019/03/07 08:22:51","HV equipt commissioning",0,,,TG_360072
D,NETWORK,OUTAGEDETAIL,3,810048,DAPTO,LINE,8,"2019/04/22 08:00:00","2019/04/30 19:00:00","2018/08/30 17:32:01",WDRAWN,,,1440,1440,"2018/12/06 12:36:09","HV equipt commissioning",0,,,TG_360105
D,NETWORK,OUTAGEDETAIL,3,810048,MARULAN,LINE,8,"2019/04/22 08:00:00","2019/04/30 19:00:00","2018/08/30 17:32:01",WDRAWN,,,1440,1440,"2018/12/06 12:36:09","HV equipt commissioning",0,,,TG_360105
D,NETWORK,OUTAGEDETAIL,3,810049,DAPTO,LINE,8,"2019/05/18 08:00:00","2019/05/26 19:00:00","2018/08/30 17:32:02",WDRAWN,,,1440,1440,"2018/12/06 12:35:06","HV equipt commissioning",0,,,TG_395187
D,NETWORK,OUTAGEDETAIL,3,810049,MARULAN,LINE,8,"2019/05/18 08:00:00","2019/05/26 19:00:00","2018/08/30 17:32:02",WDRAWN,,,1440,1440,"2018/12/06 12:35:06","HV equipt commissioning",0,,,TG_395187
D,NETWORK,OUTAGEDETAIL,3,810051,DAPTO,LINE,8,"2019/06/03 08:00:00","2019/06/21 19:00:00","2018/08/30 17:42:31",WDRAWN,,,1440,1440,"2018/12/06 12:32:58","HV equipt commissioning",0,,,TG_370700
