C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2019/05/22,04:00:08,0000000308171094,DISPATCHSCADA,0000000308171088
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC12,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC3,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC4,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC5,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC6,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC7,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC8,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",RT_VIC9,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SALTCRK1,11.93
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SAPHWF1,2.2406
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SHGEN,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SHPUMP,79.468750
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SITHE01,0.1840
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SMCSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SNOWNTH1,2.90
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SNOWSTH1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SNOWTWN1,-0.208340
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SNOWYP,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SNUG1,0.019440
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SRSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",STAN-1,220.20
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",STAN-2,181.923030
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",STAN-3,224.285860
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",STAN-4,190.575060
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",STWF1,35.077510
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",SWAN_E,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TALWA1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TARALGA1,75.052520
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TARONG#1,304.399990
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TARONG#2,262.100010
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TARONG#3,260.50
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TARONG#4,262.600010
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TARRALEA,75
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TBSF1,-0.20
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TNPS1,300.400020
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TORRA1,58.369960
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TORRA2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TORRA3,59.391060
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TORRA4,40.714630
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TORRB1,71.98
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TORRB2,73.14
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TORRB3,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TORRB4,72.96
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TREVALLN,3
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TRIBUTE,74.12
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TUMUT3,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TUNGATIN,22.720010
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TVCC201,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",TVPP104,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",UPPTUMUT,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",URANQ11,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",URANQ12,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",URANQ13,0
